Subject_ID,Subject_NAME,Subject_Next_ID,Subject_Prev_ID,Year
,,,,
01417167,Math1,01417168,-,1
01420113,Physics Lab 1,01420114,01420111,1
01420111,Physics 1,01420113_01420112,-,1
02204171,Struct Programing C,02204172_02204271,-,1
01417168,Math 2,01417267,01417167,1.5
01420112,Physics 2,01420114,01420111,1.5
01420114,Physics Lab 2,-,01420112_01420113,1.5
02204172,Practicum,-,02204171,1.5
02204121,Digital,-,-,1.5
02204111,Discrete,02204232_02204352,-,1.5
